quantidade,real,previsto
15,Oi,Desconhecido
11,Livro,Aceitar
9,Oi,Banheiro
8,Calmo,Aceitar
6,Obrigado,Desconhecido
6,Desconhecido,Eu
5,Obrigado,Oi
5,Livro,Obrigado
5,Desconhecido,Livro
5,Calmo,Sortudo
4,Oi,Casa
4,Obrigado,Quero
4,Obrigado,Aceitar
4,Desconhecido,Aceitar
4,Banheiro,Bebida
3,Nome,Banheiro
3,Bebida,Calmo
3,Bebida,Banheiro
3,Banheiro,Calmo
3,Aceitar,Sortudo
3,Aceitar,Quero
2,Sortudo,Quero
2,Sortudo,Calmo
2,Sortudo,Bebida
2,Quero,Livro
2,Quero,Desconhecido
2,Oi,Quero
2,Oi,Nome
2,Obrigado,Casa
2,Livro,Nome
2,Desconhecido,Nome
2,Desconhecido,Bebida
2,Casa,Oi
2,Bebida,Quero
2,Banheiro,Oi
2,Aceitar,Livro
1,Quero,Oi
1,Quero,Obrigado
1,Quero,Eu
1,Quero,Aceitar
1,Oi,Obrigado
1,Oi,Calmo
1,Oi,Bebida
1,Obrigado,Nome
1,Nome,Oi
1,Livro,Quero
1,Livro,Casa
1,Livro,Bebida
1,Desconhecido,Quero
1,Desconhecido,Casa
1,Casa,Obrigado
1,Casa,Livro
1,Casa,Desconhecido
1,Calmo,Bebida
1,Bebida,Sortudo
1,Bebida,Oi
1,Bebida,Obrigado
1,Bebida,Livro
1,Bebida,Desconhecido
1,Aceitar,Calmo
